name,canon_percentage,fanfiction_percentage
Harry Potter,0.2835771773928133,0.1520306640679716
Ron Weasley,0.09669987732998236,0.03805694183752286
Hermione Granger,0.08206923376118241,0.12731071081246573
Albus Dumbledore,0.036217574723992466,0.010377437777395354
Rubeus Hagrid,0.03027855069862071,0.0007423890118422054
Severus Snape,0.029261287137599856,0.05066754979609316
Voldemort,0.02688268557580109,0.019861407377465792
Sirius Black,0.02200580438620112,0.04751189623362642
Draco Malfoy,0.017921790383867396,0.11061296119166444
Fred Weasley,0.013762977590282142,0.010717616030800141
Remus Lupin,0.012925231128264969,0.03978484725996422
George Weasley,0.01228196152350178,0.011950261937255121
Neville Longbottom,0.012117404182748408,0.007112727068984148
Arthur Weasley,0.011668611435239206,0.0014877795965085705
Ginny Weasley,0.011533973610986448,0.0446223821282352
Minerva McGonagall,0.01151901385273614,0.007328840312323658
Molly Weasley,0.01080094545672142,0.0026163709783926783
Dolores Umbridge,0.009529366005445352,0.0006533423513921295
Alastor Moody,0.008721539059928791,0.0006543428756668494
Vernon Dursley,0.007928671872662538,0.0005252752442279755
Cornelius Fudge,0.0073751608174011905,0.00015908335968047255
Peter Pettigrew,0.007270442509649044,0.0052307409082359155
Dobby,0.0070161266193938315,0.00045723959354701863
Dudley Dursley,0.006986207102893217,0.001415741848728734
Horace Slughorn,0.006462615564132484,0.0002311211074603092
Percy Weasley,0.006372857014630644,0.0030035738727093
Luna Lovegood,0.005325673937109175,0.011741152363838651
Cedric Diggory,0.005280794662358256,0.0024272718904706065
Petunia Dursley,0.004697364090596296,0.0019079997918909509
Kreacher,0.004667444574095682,0.00020910957341647025
Bill Weasley,0.004517846991592616,0.0018089478886936755
Barty Crouch Sr.,0.004413128683840469,0.00010305400029615517
Argus Filch,0.004308410376088322,0.0004742485062172578
Viktor Krum,0.004143853035334949,0.0011035782750161084
Gilderoy Lockhart,0.0039194566615803495,0.0005542904481948541
Sybill Trelawney,0.0039194566615803495,0.00029315361249294627
Fleur Delacour,0.003859617628579122,0.002101100976911902
Lucius Malfoy,0.003724979804326362,0.0066694948152832105
Ludo Bagman,0.003680100529575442,0.0
Nymphadora Tonks,0.003620261496574216,0.008518463674965683
Gregory Goyle,0.0034108248810699217,0.000300157282415986
Vincent Crabbe,0.003350985848068695,0.00024312739875694862
Bellatrix Lestrange,0.0032911468150674684,0.0072457967975219015
Cho Chang,0.0032163480238159357,0.002210158122856377
Dean Thomas,0.0031714687490650146,0.001391729266135455
Oliver Wood,0.003111629716063789,0.003514841777091196
Hedwig,0.0030517906830625613,0.00024112635020750875
