character,Albus D.,Albus S. P.,Andromeda T.,Angelina J.,Astoria G.,Bellatrix L.,Bill W.,Blaise Z.,Cedric D.,Charlie W.,Cho C.,Draco M.,Fleur D.,Fred W.,George W.,Ginny W.,Harry P.,Hermione G.,James P.,James S. P.,Katie B.,Lily Evans P.,Lily Luna P.,Lucius M.,Luna L.,Marauders,Minerva M.,Molly W.,N. Tonks,Narcissa M.,Neville L.,OC,Oliver W.,Pansy P.,Percy W.,Peter P.,Petunia D.,Regulus B.,Remus L.,Ron W.,Rose W.,Scorpius M.,Seamus F.,Severus S.,Sirius B.,Teddy L.,Theodore N.,Tom R. Jr.,Victoire W.,Voldemort
Albus D.,10372,25,6,1,1,51,3,4,11,6,7,190,14,33,36,72,2239,357,133,12,0,196,6,40,54,46,2941,15,26,13,32,371,4,4,8,16,37,17,238,136,7,17,7,1948,265,9,9,321,0,445
Albus S. P.,25,6693,0,0,11,7,1,2,0,5,2,187,2,7,8,190,785,60,76,1174,0,35,617,2,11,7,32,7,3,2,27,1000,1,1,1,0,0,5,5,45,1580,3316,2,149,22,169,3,23,40,15
Andromeda T.,6,0,2658,1,6,669,4,0,1,2,1,53,2,2,3,10,99,27,11,1,0,25,2,93,4,6,11,26,215,602,5,53,0,1,2,1,1,52,81,3,1,7,0,19,194,179,0,4,14,16
Angelina J.,1,0,1,1735,2,0,2,3,8,11,7,18,3,549,910,17,41,39,0,3,45,1,1,2,2,0,1,7,3,0,3,27,69,2,9,0,0,0,4,17,1,2,2,4,3,3,0,0,0,0
Astoria G.,1,11,6,2,2357,4,1,69,3,1,1,1838,3,7,5,63,132,133,3,6,2,2,12,47,31,0,0,1,3,55,28,55,5,62,0,0,0,1,2,45,27,159,4,9,2,10,43,5,5,3
Bellatrix L.,51,7,669,0,4,7242,5,1,2,17,2,235,20,15,10,50,354,422,51,1,0,60,8,270,49,11,45,44,126,894,64,206,2,6,3,23,1,121,101,36,5,7,3,304,1037,10,2,144,0,1255
Bill W.,3,1,4,2,1,5,1808,0,3,213,0,34,561,44,57,116,163,231,3,2,4,1,1,5,23,1,4,71,51,6,1,100,6,9,62,1,2,4,48,95,3,1,1,26,21,29,3,1,68,2
Blaise Z.,4,2,0,3,69,1,0,3975,8,16,10,1148,4,11,7,500,525,1186,1,0,5,2,2,5,256,0,3,3,3,13,77,231,6,386,3,0,0,4,9,122,5,13,38,41,10,1,305,12,3,10
Cedric D.,11,0,1,8,3,2,3,8,2426,11,382,80,70,29,31,41,616,502,2,0,13,5,3,1,61,1,2,0,9,1,20,318,70,12,9,5,0,2,10,24,0,0,4,18,15,1,4,13,0,14
Charlie W.,6,5,2,11,1,17,213,16,11,2655,5,189,41,53,64,69,280,503,4,6,57,4,3,4,46,1,9,60,328,4,14,381,55,21,49,1,0,1,25,76,3,11,0,39,22,13,13,1,5,5
