published,count,name
1999-11-16,1,Harry Potter
1999-12-19,1,Harry Potter
2000-02-02,1,Harry Potter
2000-02-22,1,Harry Potter
2000-02-26,1,Harry Potter
2000-03-14,1,Harry Potter
2000-03-25,1,Harry Potter
2000-04-05,1,Harry Potter
2000-04-26,1,Harry Potter
2000-04-30,1,Harry Potter
2000-05-14,1,Harry Potter
2000-06-10,1,Harry Potter
2000-06-20,1,Harry Potter
2000-06-23,1,Harry Potter
2000-07-03,1,Harry Potter
2000-07-26,1,Harry Potter
2000-08-02,1,Harry Potter
2000-08-05,1,Harry Potter
2000-08-07,1,Harry Potter
2000-08-10,1,Harry Potter
2000-08-17,1,Harry Potter
2000-09-01,1,Harry Potter
2000-09-05,1,Harry Potter
2000-09-08,1,Harry Potter
2000-09-18,1,Harry Potter
2000-09-23,1,Harry Potter
2000-09-26,2,Harry Potter
2000-09-27,1,Harry Potter
2000-09-28,1,Harry Potter
2000-10-07,1,Harry Potter
2000-10-12,1,Harry Potter
2000-10-13,1,Harry Potter
2000-10-14,1,Harry Potter
2000-10-17,1,Harry Potter
2000-10-19,1,Harry Potter
2000-10-23,1,Harry Potter
2000-10-24,1,Harry Potter
2000-10-25,1,Harry Potter
2000-10-27,1,Harry Potter
2000-10-29,1,Harry Potter
2000-11-02,1,Harry Potter
2000-11-03,1,Harry Potter
2000-11-10,1,Harry Potter
2000-11-13,1,Harry Potter
2000-11-14,3,Harry Potter
2000-11-18,1,Harry Potter
2000-11-19,1,Harry Potter
2000-11-22,1,Harry Potter
2000-11-24,1,Harry Potter
2000-11-25,1,Harry Potter
2000-11-26,1,Harry Potter
2000-11-28,1,Harry Potter
2000-12-01,1,Harry Potter
2000-12-06,3,Harry Potter
2000-12-10,2,Harry Potter
2000-12-11,1,Harry Potter
2000-12-12,1,Harry Potter
2000-12-13,1,Harry Potter
2000-12-14,1,Harry Potter
2000-12-17,2,Harry Potter
2000-12-18,3,Harry Potter
2000-12-19,1,Harry Potter
2000-12-20,1,Harry Potter
2000-12-23,2,Harry Potter
2000-12-24,1,Harry Potter
2000-12-26,1,Harry Potter
2000-12-28,1,Harry Potter
2000-12-29,3,Harry Potter
2000-12-31,1,Harry Potter
2001-01-02,3,Harry Potter
2001-01-04,1,Harry Potter
2001-01-05,2,Harry Potter
2001-01-11,1,Harry Potter
2001-01-12,1,Harry Potter
2001-01-15,1,Harry Potter
2001-01-17,1,Harry Potter
2001-01-19,1,Harry Potter
2001-01-20,2,Harry Potter
2001-01-21,1,Harry Potter
2001-01-26,3,Harry Potter
2001-01-28,2,Harry Potter
2001-01-29,3,Harry Potter
2001-01-30,1,Harry Potter
2001-02-04,4,Harry Potter
2001-02-08,1,Harry Potter
2001-02-09,2,Harry Potter
2001-02-11,1,Harry Potter
2001-02-14,4,Harry Potter
2001-02-18,6,Harry Potter
2001-02-20,1,Harry Potter
2001-02-21,1,Harry Potter
2001-02-23,1,Harry Potter
2001-02-26,1,Harry Potter
2001-02-28,1,Harry Potter
2001-03-02,1,Harry Potter
2001-03-06,1,Harry Potter
2001-03-08,2,Harry Potter
2001-03-10,3,Harry Potter
2001-03-11,1,Harry Potter
2001-03-13,1,Harry Potter
2001-03-15,1,Harry Potter
2001-03-16,1,Harry Potter
2001-03-18,1,Harry Potter
2001-03-21,4,Harry Potter
2001-03-22,1,Harry Potter
2001-03-23,1,Harry Potter
2001-03-24,1,Harry Potter
2001-03-25,1,Harry Potter
2001-03-26,2,Harry Potter
2001-03-27,1,Harry Potter
2001-03-28,1,Harry Potter
2001-03-29,1,Harry Potter
2001-03-30,3,Harry Potter
2001-04-02,2,Harry Potter
2001-04-03,1,Harry Potter
2001-04-04,2,Harry Potter
2001-04-05,1,Harry Potter
2001-04-07,1,Harry Potter
2001-04-08,3,Harry Potter
2001-04-09,2,Harry Potter
2001-04-11,1,Harry Potter
2001-04-12,2,Harry Potter
2001-04-14,2,Harry Potter
2001-04-15,2,Harry Potter
2001-04-16,5,Harry Potter
2001-04-17,1,Harry Potter
2001-04-18,3,Harry Potter
2001-04-19,2,Harry Potter
2001-04-20,5,Harry Potter
2001-04-21,1,Harry Potter
2001-04-22,1,Harry Potter
2001-04-23,3,Harry Potter
2001-04-26,1,Harry Potter
2001-04-27,1,Harry Potter
2001-04-28,4,Harry Potter
2001-04-29,1,Harry Potter
2001-04-30,2,Harry Potter
2001-05-01,2,Harry Potter
2001-05-02,2,Harry Potter
2001-05-03,1,Harry Potter
2001-05-04,1,Harry Potter
2001-05-05,1,Harry Potter
2001-05-07,3,Harry Potter
2001-05-08,2,Harry Potter
2001-05-09,1,Harry Potter
2001-05-11,1,Harry Potter
2001-05-12,4,Harry Potter
2001-05-13,1,Harry Potter
2001-05-14,1,Harry Potter
2001-05-17,3,Harry Potter
2001-05-18,2,Harry Potter
2001-05-19,2,Harry Potter
2001-05-20,1,Harry Potter
2001-05-21,2,Harry Potter
2001-05-22,1,Harry Potter
2001-05-23,1,Harry Potter
2001-05-24,1,Harry Potter
2001-05-25,2,Harry Potter
2001-05-26,2,Harry Potter
2001-05-27,2,Harry Potter
2001-05-28,3,Harry Potter
2001-05-31,1,Harry Potter
2001-06-01,1,Harry Potter
2001-06-03,1,Harry Potter
2001-06-08,3,Harry Potter
2001-06-10,1,Harry Potter
2001-06-11,1,Harry Potter
2001-06-12,2,Harry Potter
2001-06-13,1,Harry Potter
2001-06-14,1,Harry Potter
2001-06-15,4,Harry Potter
2001-06-16,5,Harry Potter
2001-06-18,2,Harry Potter
2001-06-19,2,Harry Potter
2001-06-21,1,Harry Potter
2001-06-22,3,Harry Potter
2001-06-23,2,Harry Potter
2001-06-25,1,Harry Potter
2001-06-27,1,Harry Potter
2001-06-29,1,Harry Potter
2001-06-30,3,Harry Potter
2001-07-01,2,Harry Potter
2001-07-02,6,Harry Potter
2001-07-03,3,Harry Potter
2001-07-04,7,Harry Potter
2001-07-06,2,Harry Potter
2001-07-07,2,Harry Potter
2001-07-08,1,Harry Potter
2001-07-09,2,Harry Potter
2001-07-10,1,Harry Potter
2001-07-11,1,Harry Potter
2001-07-13,1,Harry Potter
2001-07-14,4,Harry Potter
2001-07-15,4,Harry Potter
2001-07-16,4,Harry Potter
2001-07-17,1,Harry Potter
2001-07-19,1,Harry Potter
2001-07-20,4,Harry Potter
2001-07-21,1,Harry Potter
2001-07-22,1,Harry Potter
2001-07-23,6,Harry Potter
2001-07-24,1,Harry Potter
2001-07-26,1,Harry Potter
2001-07-27,1,Harry Potter
2001-08-09,4,Harry Potter
2001-08-10,3,Harry Potter
2001-08-11,1,Harry Potter
2001-08-13,2,Harry Potter
2001-08-21,4,Harry Potter
2001-08-23,3,Harry Potter
2001-08-24,4,Harry Potter
2001-08-25,2,Harry Potter
2001-08-26,2,Harry Potter
2001-08-29,4,Harry Potter
2001-08-30,3,Harry Potter
2001-08-31,8,Harry Potter
2001-09-01,1,Harry Potter
2001-09-02,1,Harry Potter
2001-09-04,2,Harry Potter
2001-09-07,2,Harry Potter
2001-09-08,1,Harry Potter
2001-09-09,1,Harry Potter
2001-09-11,1,Harry Potter
2001-09-13,2,Harry Potter
2001-09-14,2,Harry Potter
2001-09-15,4,Harry Potter
2001-09-16,1,Harry Potter
2001-09-17,1,Harry Potter
2001-09-18,3,Harry Potter
2001-09-19,2,Harry Potter
2001-09-20,1,Harry Potter
2001-09-21,1,Harry Potter
2001-09-22,3,Harry Potter
2001-09-23,3,Harry Potter
2001-09-24,1,Harry Potter
2001-09-25,1,Harry Potter
2001-09-26,2,Harry Potter
2001-09-27,3,Harry Potter
2001-09-28,4,Harry Potter
2001-09-29,3,Harry Potter
2001-09-30,6,Harry Potter
2001-10-01,4,Harry Potter
2001-10-02,3,Harry Potter
2001-10-03,2,Harry Potter
2001-10-04,9,Harry Potter
2001-10-05,4,Harry Potter
2001-10-06,7,Harry Potter
2001-10-07,1,Harry Potter
2001-10-08,6,Harry Potter
2001-10-09,2,Harry Potter
2001-10-10,8,Harry Potter
2001-10-11,6,Harry Potter
2001-10-12,2,Harry Potter
2001-10-18,4,Harry Potter
2001-10-19,7,Harry Potter
2001-10-20,4,Harry Potter
2001-10-28,5,Harry Potter
2001-10-29,5,Harry Potter
2001-10-30,3,Harry Potter
2001-10-31,6,Harry Potter
2001-11-01,4,Harry Potter
2001-11-02,1,Harry Potter
2001-11-03,8,Harry Potter
2001-11-04,7,Harry Potter
2001-11-05,2,Harry Potter
2001-11-06,3,Harry Potter
2001-11-07,2,Harry Potter
2001-11-08,1,Harry Potter
2001-11-09,7,Harry Potter
2001-11-10,5,Harry Potter
2001-11-11,4,Harry Potter
2001-11-12,7,Harry Potter
2001-11-13,12,Harry Potter
2001-11-14,15,Harry Potter
2001-11-15,3,Harry Potter
2001-11-16,5,Harry Potter
2001-11-17,12,Harry Potter
2001-11-18,13,Harry Potter
2001-11-19,20,Harry Potter
2001-11-20,12,Harry Potter
2001-11-21,12,Harry Potter
2001-11-22,9,Harry Potter
2001-11-23,22,Harry Potter
2001-11-24,13,Harry Potter
2001-11-25,24,Harry Potter
2001-11-26,11,Harry Potter
2001-11-27,9,Harry Potter
2001-11-28,16,Harry Potter
2001-11-29,9,Harry Potter
2001-11-30,8,Harry Potter
2001-12-01,10,Harry Potter
2001-12-02,16,Harry Potter
2001-12-03,13,Harry Potter
2001-12-04,13,Harry Potter
2001-12-05,12,Harry Potter
2001-12-06,12,Harry Potter
2001-12-07,10,Harry Potter
2001-12-08,15,Harry Potter
2001-12-09,18,Harry Potter
2001-12-10,16,Harry Potter
2001-12-11,9,Harry Potter
2001-12-12,19,Harry Potter
2001-12-13,13,Harry Potter
2001-12-14,10,Harry Potter
2001-12-15,12,Harry Potter
2001-12-16,22,Harry Potter
2001-12-17,11,Harry Potter
2001-12-18,12,Harry Potter
2001-12-19,10,Harry Potter
2001-12-20,11,Harry Potter
2001-12-21,10,Harry Potter
2001-12-22,17,Harry Potter
2001-12-23,13,Harry Potter
2001-12-24,10,Harry Potter
2001-12-25,15,Harry Potter
2001-12-26,17,Harry Potter
2001-12-27,16,Harry Potter
2001-12-28,16,Harry Potter
2001-12-29,25,Harry Potter
2001-12-30,14,Harry Potter
2001-12-31,24,Harry Potter
2002-01-01,18,Harry Potter
2002-01-02,10,Harry Potter
2002-01-03,17,Harry Potter
2002-01-04,18,Harry Potter
2002-01-05,22,Harry Potter
2002-01-06,24,Harry Potter
2002-01-07,11,Harry Potter
2002-01-08,13,Harry Potter
2002-01-09,15,Harry Potter
2002-01-10,13,Harry Potter
2002-01-11,12,Harry Potter
2002-01-12,11,Harry Potter
2002-01-13,10,Harry Potter
2002-01-14,12,Harry Potter
2002-01-15,11,Harry Potter
2002-01-16,14,Harry Potter
2002-01-17,8,Harry Potter
2002-01-18,7,Harry Potter
2002-01-19,26,Harry Potter
2002-01-20,18,Harry Potter
2002-01-21,12,Harry Potter
2002-01-22,10,Harry Potter
2002-01-23,15,Harry Potter
2002-01-24,11,Harry Potter
2002-01-25,20,Harry Potter
2002-01-26,10,Harry Potter
2002-01-27,15,Harry Potter
2002-01-28,15,Harry Potter
2002-01-29,11,Harry Potter
2002-01-30,11,Harry Potter
2002-01-31,16,Harry Potter
2002-02-01,20,Harry Potter
2002-02-02,10,Harry Potter
2002-02-03,16,Harry Potter
2002-02-04,13,Harry Potter
2002-02-05,12,Harry Potter
2002-02-06,12,Harry Potter
2002-02-07,16,Harry Potter
2002-02-08,16,Harry Potter
2002-02-09,13,Harry Potter
2002-02-10,28,Harry Potter
2002-02-11,13,Harry Potter
2002-02-12,10,Harry Potter
2002-02-13,13,Harry Potter
2002-02-14,7,Harry Potter
2002-02-15,20,Harry Potter
2002-02-16,18,Harry Potter
2002-02-17,18,Harry Potter
2002-02-18,12,Harry Potter
2002-02-19,15,Harry Potter
2002-02-20,6,Harry Potter
2002-02-21,8,Harry Potter
2002-02-22,5,Harry Potter
2002-02-23,29,Harry Potter
2002-02-24,16,Harry Potter
2002-02-25,18,Harry Potter
2002-02-26,13,Harry Potter
2002-02-27,10,Harry Potter
2002-02-28,9,Harry Potter
2002-03-01,15,Harry Potter
2002-03-02,19,Harry Potter
2002-03-03,19,Harry Potter
2002-03-04,9,Harry Potter
2002-03-05,16,Harry Potter
2002-03-06,11,Harry Potter
2002-03-07,10,Harry Potter
2002-03-08,11,Harry Potter
2002-03-09,20,Harry Potter
2002-03-10,17,Harry Potter
2002-03-11,11,Harry Potter
2002-03-12,15,Harry Potter
2002-03-13,9,Harry Potter
2002-03-14,12,Harry Potter
2002-03-15,16,Harry Potter
2002-03-16,20,Harry Potter
2002-03-17,17,Harry Potter
2002-03-18,13,Harry Potter
2002-03-19,16,Harry Potter
2002-03-20,11,Harry Potter
2002-03-21,18,Harry Potter
2002-03-22,14,Harry Potter
2002-03-23,14,Harry Potter
2002-03-24,12,Harry Potter
2002-03-25,7,Harry Potter
2002-03-26,19,Harry Potter
2002-03-27,12,Harry Potter
2002-03-28,19,Harry Potter
2002-03-29,24,Harry Potter
2002-03-30,11,Harry Potter
2002-03-31,19,Harry Potter
2002-04-01,9,Harry Potter
2002-04-02,16,Harry Potter
2002-04-03,16,Harry Potter
2002-04-04,7,Harry Potter
2002-04-05,15,Harry Potter
2002-04-06,15,Harry Potter
2002-04-07,26,Harry Potter
2002-04-08,18,Harry Potter
2002-04-09,16,Harry Potter
2002-04-10,17,Harry Potter
2002-04-11,11,Harry Potter
2002-04-12,9,Harry Potter
2002-04-13,19,Harry Potter
2002-04-14,8,Harry Potter
2002-04-15,8,Harry Potter
2002-04-16,11,Harry Potter
2002-04-17,12,Harry Potter
2002-04-18,11,Harry Potter
2002-04-19,10,Harry Potter
2002-04-20,17,Harry Potter
2002-04-21,20,Harry Potter
2002-04-22,13,Harry Potter
2002-04-23,10,Harry Potter
2002-04-24,3,Harry Potter
2002-04-25,11,Harry Potter
2002-04-26,8,Harry Potter
2002-04-27,17,Harry Potter
2002-04-28,12,Harry Potter
2002-04-29,12,Harry Potter
2002-04-30,21,Harry Potter
2002-05-01,20,Harry Potter
2002-05-02,14,Harry Potter
2002-05-03,13,Harry Potter
2002-05-04,13,Harry Potter
2002-05-05,19,Harry Potter
2002-05-06,12,Harry Potter
2002-05-07,12,Harry Potter
2002-05-08,14,Harry Potter
2002-05-09,8,Harry Potter
2002-05-10,6,Harry Potter
2002-05-11,13,Harry Potter
2002-05-12,12,Harry Potter
2002-05-13,8,Harry Potter
2002-05-14,20,Harry Potter
2002-05-15,15,Harry Potter
2002-05-16,15,Harry Potter
2002-05-17,9,Harry Potter
2002-05-18,13,Harry Potter
2002-05-19,13,Harry Potter
2002-05-20,14,Harry Potter
2002-05-21,10,Harry Potter
2002-05-22,8,Harry Potter
2002-05-23,11,Harry Potter
2002-05-24,11,Harry Potter
2002-05-25,20,Harry Potter
2002-05-26,9,Harry Potter
2002-05-27,17,Harry Potter
2002-05-28,11,Harry Potter
2002-05-29,17,Harry Potter
2002-05-30,24,Harry Potter
2002-05-31,9,Harry Potter
2002-06-01,12,Harry Potter
2002-06-02,18,Harry Potter
2002-06-03,17,Harry Potter
2002-06-04,24,Harry Potter
2002-06-05,12,Harry Potter
2002-06-06,15,Harry Potter
2002-06-07,18,Harry Potter
2002-06-08,20,Harry Potter
2002-06-09,12,Harry Potter
2002-06-10,13,Harry Potter
2002-06-11,19,Harry Potter
2002-06-12,18,Harry Potter
2002-06-13,15,Harry Potter
2002-06-14,8,Harry Potter
2002-06-24,19,Harry Potter
2002-06-25,21,Harry Potter
2002-06-26,2,Harry Potter
2002-06-27,4,Harry Potter
2002-06-28,5,Harry Potter
2002-06-29,6,Harry Potter
2002-06-30,20,Harry Potter
2002-07-12,12,Harry Potter
2002-07-13,34,Harry Potter
2002-07-14,37,Harry Potter
2002-07-15,23,Harry Potter
2002-07-16,23,Harry Potter
2002-07-17,15,Harry Potter
2002-07-18,24,Harry Potter
2002-07-19,27,Harry Potter
2002-07-20,16,Harry Potter
2002-07-21,18,Harry Potter
2002-07-22,22,Harry Potter
2002-07-23,20,Harry Potter
2002-07-24,19,Harry Potter
2002-07-25,21,Harry Potter
2002-07-26,18,Harry Potter
2002-07-27,19,Harry Potter
2002-07-28,21,Harry Potter
2002-07-29,14,Harry Potter
2002-07-30,19,Harry Potter
2002-07-31,21,Harry Potter
2002-08-01,26,Harry Potter
2002-08-02,13,Harry Potter
2002-08-03,23,Harry Potter
2002-08-04,26,Harry Potter
2002-08-05,17,Harry Potter
2002-08-06,29,Harry Potter
2002-08-07,13,Harry Potter
2002-08-08,20,Harry Potter
2002-08-09,12,Harry Potter
2002-08-10,16,Harry Potter
2002-08-11,18,Harry Potter
2002-08-12,24,Harry Potter
2002-08-13,22,Harry Potter
2002-08-14,33,Harry Potter
2002-08-15,22,Harry Potter
2002-08-16,16,Harry Potter
2002-08-17,15,Harry Potter
2002-08-18,23,Harry Potter
2002-08-19,13,Harry Potter
2002-08-20,25,Harry Potter
2002-08-21,12,Harry Potter
2002-08-22,22,Harry Potter
2002-08-23,6,Harry Potter
2002-08-24,20,Harry Potter
2002-08-25,19,Harry Potter
2002-08-26,19,Harry Potter
2002-08-27,15,Harry Potter
2002-08-28,21,Harry Potter
2002-08-29,24,Harry Potter
2002-08-30,12,Harry Potter
2002-08-31,23,Harry Potter
2002-09-01,20,Harry Potter
2002-09-02,25,Harry Potter
2002-09-03,20,Harry Potter
2002-09-04,11,Harry Potter
2002-09-05,16,Harry Potter
2002-09-06,22,Harry Potter
2002-09-07,14,Harry Potter
2002-09-08,22,Harry Potter
2002-09-09,14,Harry Potter
2002-09-10,21,Harry Potter
2002-09-11,2,Harry Potter
2002-09-12,6,Harry Potter
2002-09-13,14,Harry Potter
2002-09-14,16,Harry Potter
2002-09-15,16,Harry Potter
2002-09-16,16,Harry Potter
2002-09-17,12,Harry Potter
2002-09-18,19,Harry Potter
2002-09-19,14,Harry Potter
2002-09-20,12,Harry Potter
2002-09-21,14,Harry Potter
2002-09-22,20,Harry Potter
2002-09-23,14,Harry Potter
2002-09-24,18,Harry Potter
2002-09-25,9,Harry Potter
2002-09-26,19,Harry Potter
2002-09-27,19,Harry Potter
2002-09-28,22,Harry Potter
2002-09-29,22,Harry Potter
2002-09-30,13,Harry Potter
2002-10-01,16,Harry Potter
2002-10-02,13,Harry Potter
2002-10-03,5,Harry Potter
2002-10-04,6,Harry Potter
2002-10-05,16,Harry Potter
2002-10-06,21,Harry Potter
2002-10-07,19,Harry Potter
2002-10-08,15,Harry Potter
2002-10-09,20,Harry Potter
2002-10-10,14,Harry Potter
2002-10-11,23,Harry Potter
2002-10-12,5,Harry Potter
2002-10-13,14,Harry Potter
2002-10-14,19,Harry Potter
2002-10-15,12,Harry Potter
2002-10-16,16,Harry Potter
2002-10-17,17,Harry Potter
2002-10-18,19,Harry Potter
2002-10-19,20,Harry Potter
2002-10-20,17,Harry Potter
2002-10-21,16,Harry Potter
2002-10-22,14,Harry Potter
2002-10-23,25,Harry Potter
2002-10-24,15,Harry Potter
2002-10-25,18,Harry Potter
2002-10-26,26,Harry Potter
2002-10-27,19,Harry Potter
2002-10-28,11,Harry Potter
2002-10-29,11,Harry Potter
