name,canon_percentage,fanfiction_percentage,gender
Harry Potter,0.2835771773928133,0.25926886490636863,M
Ron Weasley,0.09669987732998236,0.06490124984003752,M
Hermione Granger,0.08206923376118241,0.21711214435012585,F
Albus Dumbledore,0.036217574723992466,0.017697393678283498,M
Rubeus Hagrid,0.03027855069862071,0.0012660495670349355,M
Severus Snape,0.029261287137599856,0.08640702981700295,M
Voldemort,0.02688268557580109,0.03387109158384166,M
Sirius Black,0.02200580438620112,0.08102546602397304,M
Draco Malfoy,0.017921790383867396,0.18863626668941688,M
Fred Weasley,0.013762977590282142,0.018277524207652603,M
Remus Lupin,0.012925231128264969,0.06784797167598004,M
George Weasley,0.01228196152350178,0.0203796442434842,M
Neville Longbottom,0.012117404182748408,0.012129846862602907,M
Arthur Weasley,0.011668611435239206,0.0025372179328584225,M
Ginny Weasley,0.011533973610986448,0.07609776905686133,F
Minerva McGonagall,0.01151901385273614,0.012498400375378577,F
Molly Weasley,0.01080094545672142,0.004461886277353581,F
Dolores Umbridge,0.009529366005445352,0.0011141918696412577,F
Alastor Moody,0.008721539059928791,0.0011158981359041078,M
Vernon Dursley,0.007928671872662538,0.0008957897879964168,M
Cornelius Fudge,0.0073751608174011905,0.0002712963357932005,M
Peter Pettigrew,0.007270442509649044,0.008920360022181462,M
Dobby,0.0070161266193938315,0.0007797636821225952,M
Dudley Dursley,0.006986207102893217,0.0024143667619331995,M
Horace Slughorn,0.006462615564132484,0.0003941475067184233,M
Percy Weasley,0.006372857014630644,0.005122211321076654,M
Luna Lovegood,0.005325673937109175,0.020023034594548482,F
Cedric Diggory,0.005280794662358256,0.004139401953674871,M
Petunia Dursley,0.004697364090596296,0.003253849763255556,F
Kreacher,0.004667444574095682,0.00035660964893571644,M
Bill Weasley,0.004517846991592616,0.003084929403233375,M
Barty Crouch Sr.,0.004413128683840469,0.00017574542507358274,M
Argus Filch,0.004308410376088322,0.0008087702085910508,M
Viktor Krum,0.004143853035334949,0.0018820116879239008,M
Gilderoy Lockhart,0.0039194566615803495,0.000945271509619076,M
Sybill Trelawney,0.0039194566615803495,0.0004999360150151432,F
Fleur Delacour,0.003859617628579122,0.0035831591519856674,F
Lucius Malfoy,0.003724979804326362,0.01137397090816022,M
Ludo Bagman,0.003680100529575442,0.0,M
Nymphadora Tonks,0.003620261496574216,0.014527150961907606,F
Gregory Goyle,0.0034108248810699217,0.0005118798788550954,M
Vincent Crabbe,0.003350985848068695,0.0004146227018726272,M
Bellatrix Lestrange,0.0032911468150674684,0.012356780275562002,F
Cho Chang,0.0032163480238159357,0.0037691421746363523,F
Dean Thomas,0.0031714687490650146,0.0023734163716247927,M
Oliver Wood,0.003111629716063789,0.005994113381393168,M
Hedwig,0.0030517906830625613,0.0004112101693469266,F
James Potter,0.002842354067558268,0.08172503519174168,M
Rita Skeeter,0.002812434551057655,0.0005187049439064966,F
Seamus Finnigan,0.002677796726804895,0.003033741415347865,M
Igor Karkaroff,0.0024683601113006013,0.0001740391588107324,M
Peeves,0.002453400353050295,0.00016209529497078018,M
Winky,0.0024234808365496806,0.00018427675638783432,F
Crookshanks,0.0024234808365496806,0.00033442818751866233,M
Madam Pomfrey,0.002333722287047841,0.0005067610800665443,F
Rufus Scrimgeour,0.002288843012296921,0.00010920104082242034,M
Mundungus Fletcher,0.0021990844627950814,0.0001262637034509235,M
Lavender Brown,0.0021093259132932414,0.002436548223350254,F
Griphook,0.0020943661550429345,0.0,M
