event,date,type,link
"Harry Potter and the Philosopher's Stone published in the UK",1997-06-26,book
"Harry Potter and the Chamber of Secrets published in the UK",1998-07-02,book
"Harry Potter and the Sorcerer's Stone published in the US",1998-09-01,book
"FanFiction.net launched",1998-10-15,other
"Harry Potter and the Chamber of Secrets published in the US",1999-06-02,book
"Harry Potter and the Prisoner of Azkaban published in the UK",1999-07-08,book
"Harry Potter and the Prisoner of Azkaban published in the US",1999-09-08,book
"Daniel Radcliffe, Emma Watson, Rupert Grint cast",2000-08-21,other
"Harry Potter and the Goblet of Fire published",2000-07-08,book
"Fantastic Beasts and Where to Find Them, Quidditch Through the Ages published",2001-03-12,book
"Harry Potter and the Sorcerer's Stone movie released",2001-11-16,movie
"Richard Harris, Dumbledore actor, passes away",2002-10-25,other
"Harry Potter and the Chamber of Secrets movie released",2002-11-15,movie
"Harry Potter and the Order of the Phoenix published",2003-06-21,book
"Harry Potter and the Prisoner of Azkaban movie released",2004-05-31,movie
"Harry Potter and the Half Blood Prince published",2005-07-16,book
"Harry Potter and the Goblet of Fire movie released",2005-09-18,movie
"Publication date for HP7 announced",2006-02-1,other
"First trailer for HP5 movie released",2006-11-17,other
"Potter Puppet Pals: The Mysterious Ticking Noise airs on YouTube",2007-03-23,other
"Plans for the Wizarding World of Harry Potter announced",2007-05-31,other
"Harry Potter and the Order of the Phoenix movie released",2007-07-11,movie
"Harry Potter and the Deathly Hallows published",2007-07-21,book
"JK Rowling announces Dumbledore's sexuality",2007-10-19,other
"James and Sirius short story published",2008-06-11,other,"http://www.mugglenet.com/harry-potter/james-sirius-prequel/"
"The Tales of Beedle the Bard published",2008-12-4,book
"Harry Potter and the Half Blood Prince movie released",2009-07-15,movie
"Wizarding World of Harry Potter opened to the public",2010-06-18,other
"Harry Potter and the Deathly Hallows Part 1 movie released",2010-11-19,movie
"Harry Potter and the Deathly Hallows Part 2 movie released",2011-07-11,movie
"Pottermore officially launched",2012-04-14,other
"JK Rowling admits to having second thoughts on Ron/Hermione",2014-02-02,other
"Wizarding World Diagon Alley opened to the public",2014-07-08,other
"Alan Rickman, Snape's actor, passes away",2016-01-14,other
"Harry Potter and the Cursed Child play premiers",2016-07-30,other
"Harry Potter and the Cursed Child script published",2016-07-31,book
"Pottermore releases Patronus quiz",2016-09-22,other
"Fantastic Beasts and Where to Find Them movie released",2016-11-10,movie
